S.no,Topic/Algorithm,Purpose / Definition,Time Complexity,Space Complexity,
20,Maximum Sum of Hour Glass in Matrix,Calculates the maximum sum of hourglass-shaped patterns in a 2D matrix,O(n²) for n×n matrix,O(1),
27,Selection Sort,Simple sorting algorithm that repeatedly finds the minimum element and places it at the beginning,O(n²),O(1),
28,Weighted Substring,Finds substrings with maximum weight based on character values or positions,O(n²),O(n),
15,Karatsuba Algorithm,Fast multiplication algorithm using divide-and-conquer to multiply large numbers,O(n^1.59) or O(n^log?3),O(n),
11,Toggle the Switch & Alice Apple Tree,Bit manipulation problems involving flipping bits or toggling states in an array,O(n),O(1),
13,Booth's Algorithm,Multiplication algorithm for signed binary numbers using 2's complement representation,O(n),O(1),
18,Block Swap Algorithm,Efficiently rotates an array by swapping blocks of elements of different sizes,O(n),O(1),
19,Max Product Subarray,Finds the contiguous subarray with the largest product using dynamic programming,O(n),O(1),
21,Max Equilibrium Sum,Finds an index where the sum of elements to the left equals the sum to the right,O(n),O(1),
22,Leaders in Array,Identifies elements greater than all elements to their right in the array,O(n),O(1),
23,Majority Element,Finds an element that appears more than n/2 times in an array (Boyer-Moore Voting Algorithm),O(n),O(1),
29,Move Hyphen to Beginning,Rearranges a string by moving all hyphens to the beginning while maintaining relative order of other characters,O(n),O(1),
30,Manacher's Algorithm,Finds the longest palindromic substring in linear time by expanding around centers,O(n),O(n),
33,Josephus Problem,Solves the elimination game where every k-th person is removed in a circle until one remains,O(n),O(1),
31,Sorted Unique Permutation,Generates all unique permutations of a string or array in lexicographic order,O(n!),O(n),
35,N Queens Problem,Places n queens on an n×n chessboard so that no two queens threaten each other,O(n!),O(n²),
26,Quick Sort,Divide-and-conquer sorting algorithm using a pivot element to partition the array,"O(n log n) average, O(n²) worst",O(log n),
24,Lexicographically First Palindromic String,Rearranges characters to form the lexicographically smallest palindrome,O(n log n),O(n),
25,Natural Sort Order,"Sorts strings containing numbers in human-friendly order (e.g., ""2"" before ""10"")",O(n log n),O(n),
6,Simple Sieve (Sieve of Eratosthenes),Finds all prime numbers up to a given limit by iteratively marking multiples of each prime starting from 2,O(n log log n),O(n),
7,Segmented & Incremental Sieve,Optimized version of sieve for large ranges by processing segments of size ?n,O(n log log n),O(?n),
34,Maze Solving,Finds a path from start to end in a maze using algorithms like DFS or BFS,O(m×n) for m×n grid,O(m×n),
14,Euclid's Algorithm,Computes the greatest common divisor (GCD) of two integers using repeated division,"O(log(min(a,b)))",O(1),
12,Binary Palindrome,Checks if the binary representation of a number reads the same forwards and backwards,O(log n),O(1),
16,Longest Sequence of 1 after Flipping a Bit,Finds the longest sequence of consecutive 1s in binary representation after flipping exactly one 0 to 1,O(log n),O(1),
10,Chinese Remainder Theorem,Solves systems of simultaneous congruences with coprime moduli,O(k) for k congruences,O(1),
9,Strobogrammatic Number,"Identifies numbers that appear the same when rotated 180 degrees (e.g., 69, 88, 96)",O(d) where d is number of digits,O(1),
32,Maneuvering Combination,Generates combinations or arrangements with specific constraints or patterns,"O(C(n,k))",O(k),
2,Decision Making and Control Structures,"Conditional statements (if-else, switch) and loops (for, while) that control program flow based on conditions",O(1) to O(n),O(1),
1,Basic I/O and Operators,"Fundamental operations for reading input, writing output, and performing arithmetic, logical, and bitwise operations",O(1),O(1),
17,Swap Two Nibbles in a Byte,Swaps the lower 4 bits with the upper 4 bits in an 8-bit byte,O(1),O(1),
8,Euler's Phi Algorithm,"Computes Euler's totient function ?(n), counting integers ? n that are coprime to n",O(?n),O(1),
